	OrphaNumber	Disease_name	GeneAssociationCount	Associated_genes	Gene_IDs	Association_types	Association_statuses
10	333	Farber disease	1	['N-acylsphingosine amidohydrolase 1']	[{'ExternalReference': [{'id': '56696', 'Source': 'Ensembl', 'Reference': 'ENSG00000104763'}, {'id': '28977', 'Source': 'Genatlas', 'Reference': 'ASAH1'}, {'id': '28979', 'Source': 'HGNC', 'Reference': '735'}, {'id': '46755', 'Source': 'OMIM', 'Reference': '613468'}, {'id': '56697', 'Source': 'Reactome', 'Reference': 'Q13510'}, {'id': '32967', 'Source': 'SwissProt', 'Reference': 'Q13510'}], 'count': '6'}]	['Disease-causing germline mutation(s) in']	['Assessed']
11	349	Fucosidosis	1	['alpha-L-fucosidase 1']	[{'ExternalReference': [{'id': '56698', 'Source': 'Ensembl', 'Reference': 'ENSG00000179163'}, {'id': '29620', 'Source': 'Genatlas', 'Reference': 'FUCA1'}, {'id': '29618', 'Source': 'HGNC', 'Reference': '4006'}, {'id': '51434', 'Source': 'OMIM', 'Reference': '612280'}, {'id': '97220', 'Source': 'Reactome', 'Reference': 'P04066'}, {'id': '33097', 'Source': 'SwissProt', 'Reference': 'P04066'}], 'count': '6'}]	['Disease-causing germline mutation(s) in']	['Assessed']
12	166090	Von Willebrand disease type 2M	1	['von Willebrand factor']	[{'ExternalReference': [{'id': '60135', 'Source': 'Ensembl', 'Reference': 'ENSG00000110799'}, {'id': '27848', 'Source': 'Genatlas', 'Reference': 'VWF'}, {'id': '27846', 'Source': 'HGNC', 'Reference': '12726'}, {'id': '48343', 'Source': 'OMIM', 'Reference': '613160'}, {'id': '60136', 'Source': 'Reactome', 'Reference': 'P04275'}, {'id': '32686', 'Source': 'SwissProt', 'Reference': 'P04275'}], 'count': '6'}]	['Disease-causing germline mutation(s) in']	['Assessed']
13	166087	Von Willebrand disease type 2B	1	['von Willebrand factor']	[{'ExternalReference': [{'id': '60135', 'Source': 'Ensembl', 'Reference': 'ENSG00000110799'}, {'id': '27848', 'Source': 'Genatlas', 'Reference': 'VWF'}, {'id': '27846', 'Source': 'HGNC', 'Reference': '12726'}, {'id': '48343', 'Source': 'OMIM', 'Reference': '613160'}, {'id': '60136', 'Source': 'Reactome', 'Reference': 'P04275'}, {'id': '32686', 'Source': 'SwissProt', 'Reference': 'P04275'}], 'count': '6'}]	['Disease-causing germline mutation(s) in']	['Assessed']
14	366	Glycogen storage disease due to glycogen debranching enzyme deficiency	1	['amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase']	[{'ExternalReference': [{'id': '26689', 'Source': 'Genatlas', 'Reference': 'AGL'}, {'id': '26691', 'Source': 'HGNC', 'Reference': '321'}, {'id': '26690', 'Source': 'OMIM', 'Reference': '610860'}, {'id': '56701', 'Source': 'Reactome', 'Reference': 'P35573'}, {'id': '32443', 'Source': 'SwissProt', 'Reference': 'P35573'}, {'id': '56700', 'Source': 'Ensembl', 'Reference': 'ENSG00000162688'}], 'count': '6'}]	['Disease-causing germline mutation(s) in']	['Assessed']
15	166093	Von Willebrand disease type 2N	1	['von Willebrand factor']	[{'ExternalReference': [{'id': '60135', 'Source': 'Ensembl', 'Reference': 'ENSG00000110799'}, {'id': '27848', 'Source': 'Genatlas', 'Reference': 'VWF'}, {'id': '27846', 'Source': 'HGNC', 'Reference': '12726'}, {'id': '48343', 'Source': 'OMIM', 'Reference': '613160'}, {'id': '60136', 'Source': 'Reactome', 'Reference': 'P04275'}, {'id': '32686', 'Source': 'SwissProt', 'Reference': 'P04275'}], 'count': '6'}]	['Disease-causing germline mutation(s) in']	['Assessed']
16	368	Glycogen storage disease due to muscle glycogen phosphorylase deficiency	1	['glycogen phosphorylase, muscle associated']	[{'ExternalReference': [{'id': '56704', 'Source': 'Ensembl', 'Reference': 'ENSG00000068976'}, {'id': '25276', 'Source': 'Genatlas', 'Reference': 'PYGM'}, {'id': '25278', 'Source': 'HGNC', 'Reference': '9726'}, {'id': '25277', 'Source': 'OMIM', 'Reference': '608455'}, {'id': '56705', 'Source': 'Reactome', 'Reference': 'P11217'}, {'id': '33701', 'Source': 'SwissProt', 'Reference': 'P11217'}], 'count': '6'}]	['Disease-causing germline mutation(s) in']	['Assessed']
17	166096	Von Willebrand disease type 3	1	['von Willebrand factor']	[{'ExternalReference': [{'id': '60135', 'Source': 'Ensembl', 'Reference': 'ENSG00000110799'}, {'id': '27848', 'Source': 'Genatlas', 'Reference': 'VWF'}, {'id': '27846', 'Source': 'HGNC', 'Reference': '12726'}, {'id': '48343', 'Source': 'OMIM', 'Reference': '613160'}, {'id': '60136', 'Source': 'Reactome', 'Reference': 'P04275'}, {'id': '32686', 'Source': 'SwissProt', 'Reference': 'P04275'}], 'count': '6'}]	['Disease-causing germline mutation(s) in']	['Assessed']
18	166100	Stickler syndrome type 3	1	['collagen type XI alpha 2 chain']	[{'ExternalReference': [{'id': '58068', 'Source': 'Ensembl', 'Reference': 'ENSG00000204248'}, {'id': '28078', 'Source': 'Genatlas', 'Reference': 'COL11A2'}, {'id': '28076', 'Source': 'HGNC', 'Reference': '2187'}, {'id': '28075', 'Source': 'OMIM', 'Reference': '120290'}, {'id': '82863', 'Source': 'Reactome', 'Reference': 'P13942'}, {'id': '32736', 'Source': 'SwissProt', 'Reference': 'P13942'}], 'count': '6'}]	['Disease-causing germline mutation(s) in']	['Assessed']
19	371	Glycogen storage disease due to muscle phosphofructokinase deficiency	1	['phosphofructokinase, muscle']	[{'ExternalReference': [{'id': '56708', 'Source': 'Ensembl', 'Reference': 'ENSG00000152556'}, {'id': '32292', 'Source': 'Genatlas', 'Reference': 'PFKM'}, {'id': '35355', 'Source': 'HGNC', 'Reference': '8877'}, {'id': '32293', 'Source': 'OMIM', 'Reference': '610681'}, {'id': '56709', 'Source': 'Reactome', 'Reference': 'P08237'}, {'id': '33753', 'Source': 'SwissProt', 'Reference': 'P08237'}], 'count': '6'}]	['Disease-causing germline mutation(s) in']	['Assessed']
20	166105	FASTKD2-related infantile mitochondrial encephalomyopathy	1	['FAST kinase domains 2']	[{'ExternalReference': [{'id': '60137', 'Source': 'Ensembl', 'Reference': 'ENSG00000118246'}, {'id': '39389', 'Source': 'Genatlas', 'Reference': 'FASTKD2'}, {'id': '39390', 'Source': 'HGNC', 'Reference': '29160'}, {'id': '39391', 'Source': 'OMIM', 'Reference': '612322'}, {'id': '39392', 'Source': 'SwissProt', 'Reference': 'Q9NYY8'}], 'count': '5'}]	['Disease-causing germline mutation(s) (loss of function) in']	['Assessed']
21	369	Glycogen storage disease due to liver glycogen phosphorylase deficiency	1	['glycogen phosphorylase L']	[{'ExternalReference': [{'id': '33700', 'Source': 'SwissProt', 'Reference': 'P06737'}, {'id': '56706', 'Source': 'Ensembl', 'Reference': 'ENSG00000100504'}, {'id': '25274', 'Source': 'Genatlas', 'Reference': 'PYGL'}, {'id': '25272', 'Source': 'HGNC', 'Reference': '9725'}, {'id': '50622', 'Source': 'OMIM', 'Reference': '613741'}, {'id': '56707', 'Source': 'Reactome', 'Reference': 'P06737'}], 'count': '6'}]	['Disease-causing germline mutation(s) in']	['Assessed']
22	447	Paroxysmal nocturnal hemoglobinuria	1	['phosphatidylinositol glycan anchor biosynthesis class A']	[{'ExternalReference': [{'id': '56710', 'Source': 'Ensembl', 'Reference': 'ENSG00000165195'}, {'id': '46177', 'Source': 'Genatlas', 'Reference': 'PIGA'}, {'id': '46178', 'Source': 'HGNC', 'Reference': '8957'}, {'id': '46180', 'Source': 'OMIM', 'Reference': '311770'}, {'id': '56711', 'Source': 'Reactome', 'Reference': 'P37287'}, {'id': '46179', 'Source': 'SwissProt', 'Reference': 'P37287'}], 'count': '6'}]	['Disease-causing somatic mutation(s) in']	['Assessed']
23	166108	Intellectual disability, Birk-Barel type	1	['potassium two pore domain channel subfamily K member 9']	[{'ExternalReference': [{'id': '60139', 'Source': 'Ensembl', 'Reference': 'ENSG00000169427'}, {'id': '38727', 'Source': 'Genatlas', 'Reference': 'KCNK9'}, {'id': '38801', 'Source': 'HGNC', 'Reference': '6283'}, {'id': '83108', 'Source': 'IUPHAR', 'Reference': '520'}, {'id': '38729', 'Source': 'OMIM', 'Reference': '605874'}, {'id': '60140', 'Source': 'Reactome', 'Reference': 'Q9NPC2'}, {'id': '38730', 'Source': 'SwissProt', 'Reference': 'Q9NPC2'}], 'count': '7'}]	['Disease-causing germline mutation(s) in']	['Assessed']
24	166119	Isolated osteopoikilosis	1	['LEM domain containing 3']	[{'ExternalReference': [{'id': '58125', 'Source': 'Ensembl', 'Reference': 'ENSG00000174106'}, {'id': '30893', 'Source': 'Genatlas', 'Reference': 'LEMD3'}, {'id': '30891', 'Source': 'HGNC', 'Reference': '28887'}, {'id': '30890', 'Source': 'OMIM', 'Reference': '607844'}, {'id': '82979', 'Source': 'Reactome', 'Reference': 'Q9Y2U8'}, {'id': '33414', 'Source': 'SwissProt', 'Reference': 'Q9Y2U8'}], 'count': '6'}]	['Disease-causing germline mutation(s) (loss of function) in']	['Assessed']
25	166260	Dentinogenesis imperfecta type 2	1	['dentin sialophosphoprotein']	[{'ExternalReference': [{'id': '28699', 'Source': 'HGNC', 'Reference': '3054'}, {'id': '28698', 'Source': 'OMIM', 'Reference': '125485'}, {'id': '82886', 'Source': 'Reactome', 'Reference': 'Q9NZW4'}, {'id': '32907', 'Source': 'SwissProt', 'Reference': 'Q9NZW4'}, {'id': '58097', 'Source': 'Ensembl', 'Reference': 'ENSG00000152591'}, {'id': '28697', 'Source': 'Genatlas', 'Reference': 'DSPP'}], 'count': '6'}]	['Disease-causing germline mutation(s) in']	['Assessed']
26	166265	Dentinogenesis imperfecta type 3	1	['dentin sialophosphoprotein']	[{'ExternalReference': [{'id': '28699', 'Source': 'HGNC', 'Reference': '3054'}, {'id': '28698', 'Source': 'OMIM', 'Reference': '125485'}, {'id': '82886', 'Source': 'Reactome', 'Reference': 'Q9NZW4'}, {'id': '32907', 'Source': 'SwissProt', 'Reference': 'Q9NZW4'}, {'id': '58097', 'Source': 'Ensembl', 'Reference': 'ENSG00000152591'}, {'id': '28697', 'Source': 'Genatlas', 'Reference': 'DSPP'}], 'count': '6'}]	['Disease-causing germline mutation(s) in']	['Assessed']
27	166272	Odontochondrodysplasia	1	['thyroid hormone receptor interactor 11']	[{'ExternalReference': [{'id': '44575', 'Source': 'OMIM', 'Reference': '604505'}, {'id': '97290', 'Source': 'Reactome', 'Reference': 'Q15643'}, {'id': '44576', 'Source': 'SwissProt', 'Reference': 'Q15643'}, {'id': '59679', 'Source': 'Ensembl', 'Reference': 'ENSG00000100815'}, {'id': '44573', 'Source': 'Genatlas', 'Reference': 'TRIP11'}, {'id': '44574', 'Source': 'HGNC', 'Reference': '12305'}], 'count': '6'}]	['Disease-causing germline mutation(s) in']	['Assessed']
28	576	Mucolipidosis type II	1	['N-acetylglucosamine-1-phosphate transferase subunits alpha and beta']	[{'ExternalReference': [{'id': '143470', 'Source': 'Reactome', 'Reference': 'Q3T906'}, {'id': '56716', 'Source': 'Ensembl', 'Reference': 'ENSG00000111670'}, {'id': '36977', 'Source': 'Genatlas', 'Reference': 'GNPTAB'}, {'id': '29961', 'Source': 'HGNC', 'Reference': '29670'}, {'id': '29960', 'Source': 'OMIM', 'Reference': '607840'}, {'id': '33171', 'Source': 'SwissProt', 'Reference': 'Q3T906'}], 'count': '6'}]	['Disease-causing germline mutation(s) (loss of function) in']	['Assessed']
29	812	Sialidosis type 1	1	['neuraminidase 1']	[{'ExternalReference': [{'id': '31773', 'Source': 'Genatlas', 'Reference': 'NEU1'}, {'id': '31771', 'Source': 'HGNC', 'Reference': '7758'}, {'id': '31770', 'Source': 'OMIM', 'Reference': '608272'}, {'id': '56713', 'Source': 'Reactome', 'Reference': 'Q99519'}, {'id': '33604', 'Source': 'SwissProt', 'Reference': 'Q99519'}, {'id': '56712', 'Source': 'Ensembl', 'Reference': 'ENSG00000204386'}], 'count': '6'}]	['Disease-causing germline mutation(s) in']	['Assessed']
30	166282	Familial sick sinus syndrome	3	['sodium voltage-gated channel alpha subunit 5', 'hyperpolarization activated cyclic nucleotide gated potassium channel 4', 'myosin heavy chain 6']	[{'ExternalReference': [{'id': '57472', 'Source': 'Ensembl', 'Reference': 'ENSG00000183873'}, {'id': '25635', 'Source': 'Genatlas', 'Reference': 'SCN5A'}, {'id': '25637', 'Source': 'HGNC', 'Reference': '10593'}, {'id': '82772', 'Source': 'IUPHAR', 'Reference': '582'}, {'id': '25636', 'Source': 'OMIM', 'Reference': '600163'}, {'id': '57473', 'Source': 'Reactome', 'Reference': 'Q14524'}, {'id': '33812', 'Source': 'SwissProt', 'Reference': 'Q14524'}], 'count': '7'}, {'ExternalReference': [{'id': '58776', 'Source': 'Ensembl', 'Reference': 'ENSG00000138622'}, {'id': '30133', 'Source': 'Genatlas', 'Reference': 'HCN4'}, {'id': '30131', 'Source': 'HGNC', 'Reference': '16882'}, {'id': '82949', 'Source': 'IUPHAR', 'Reference': '403'}, {'id': '30130', 'Source': 'OMIM', 'Reference': '605206'}, {'id': '58777', 'Source': 'Reactome', 'Reference': 'Q9Y3Q4'}, {'id': '33207', 'Source': 'SwissProt', 'Reference': 'Q9Y3Q4'}], 'count': '7'}, {'ExternalReference': [{'id': '57464', 'Source': 'Ensembl', 'Reference': 'ENSG00000197616'}, {'id': '31586', 'Source': 'Genatlas', 'Reference': 'MYH6'}, {'id': '31588', 'Source': 'HGNC', 'Reference': '7576'}, {'id': '31587', 'Source': 'OMIM', 'Reference': '160710'}, {'id': '57465', 'Source': 'Reactome', 'Reference': 'P13533'}, {'id': '33565', 'Source': 'SwissProt', 'Reference': 'P13533'}], 'count': '6'}]	['Disease-causing germline mutation(s) in', 'Disease-causing germline mutation(s) in', 'Major susceptibility factor in']	['Assessed', 'Assessed', 'Assessed']
31	578	Mucolipidosis type IV	1	['mucolipin 1']	[{'ExternalReference': [{'id': '56719', 'Source': 'Ensembl', 'Reference': 'ENSG00000090674'}, {'id': '31064', 'Source': 'Genatlas', 'Reference': 'MCOLN1'}, {'id': '31066', 'Source': 'HGNC', 'Reference': '13356'}, {'id': '82990', 'Source': 'IUPHAR', 'Reference': '501'}, {'id': '31065', 'Source': 'OMIM', 'Reference': '605248'}, {'id': '82989', 'Source': 'Reactome', 'Reference': 'Q9GZU1'}, {'id': '33450', 'Source': 'SwissProt', 'Reference': 'Q9GZU1'}], 'count': '7'}]	['Disease-causing germline mutation(s) (loss of function) in']	['Assessed']
32	166286	Porokeratotic eccrine ostial and dermal duct nevus	1	['gap junction protein beta 2']	[{'ExternalReference': [{'id': '57357', 'Source': 'Ensembl', 'Reference': 'ENSG00000165474'}, {'id': '29851', 'Source': 'Genatlas', 'Reference': 'GJB2'}, {'id': '29853', 'Source': 'HGNC', 'Reference': '4284'}, {'id': '29852', 'Source': 'OMIM', 'Reference': '121011'}, {'id': '57358', 'Source': 'Reactome', 'Reference': 'P29033'}, {'id': '33145', 'Source': 'SwissProt', 'Reference': 'P29033'}], 'count': '6'}]	['Disease-causing somatic mutation(s) in']	['Assessed']
33	461	Recessive X-linked ichthyosis	1	['steroid sulfatase']	[{'ExternalReference': [{'id': '56727', 'Source': 'Ensembl', 'Reference': 'ENSG00000101846'}, {'id': '27144', 'Source': 'Genatlas', 'Reference': 'STS'}, {'id': '27142', 'Source': 'HGNC', 'Reference': '11425'}, {'id': '39834', 'Source': 'OMIM', 'Reference': '300747'}, {'id': '56728', 'Source': 'Reactome', 'Reference': 'P08842'}, {'id': '32537', 'Source': 'SwissProt', 'Reference': 'P08842'}], 'count': '6'}]	['Disease-causing germline mutation(s) in']	['Assessed']
34	584	Mucopolysaccharidosis type 7	1	['glucuronidase beta']	[{'ExternalReference': [{'id': '30090', 'Source': 'Genatlas', 'Reference': 'GUSB'}, {'id': '30088', 'Source': 'HGNC', 'Reference': '4696'}, {'id': '50650', 'Source': 'OMIM', 'Reference': '611499'}, {'id': '82947', 'Source': 'Reactome', 'Reference': 'P08236'}, {'id': '33198', 'Source': 'SwissProt', 'Reference': 'P08236'}, {'id': '56724', 'Source': 'Ensembl', 'Reference': 'ENSG00000169919'}], 'count': '6'}]	['Disease-causing germline mutation(s) in']	['Assessed']
35	166412	Hot water reflex epilepsy	1	['solute carrier family 1 member 1']	[{'ExternalReference': [{'id': '83835', 'Source': 'Ensembl', 'Reference': 'ENSG00000106688'}, {'id': '79519', 'Source': 'Genatlas', 'Reference': 'SLC1A1'}, {'id': '79517', 'Source': 'HGNC', 'Reference': '10939'}, {'id': '79518', 'Source': 'OMIM', 'Reference': '133550'}, {'id': '83834', 'Source': 'Reactome', 'Reference': 'P43005'}, {'id': '79520', 'Source': 'SwissProt', 'Reference': 'P43005'}], 'count': '6'}]	['Disease-causing germline mutation(s) in']	['Assessed']
36	95	Friedreich ataxia	1	['frataxin']	[{'ExternalReference': [{'id': '37063', 'Source': 'Genatlas', 'Reference': 'FXN'}, {'id': '29623', 'Source': 'HGNC', 'Reference': '3951'}, {'id': '29622', 'Source': 'OMIM', 'Reference': '606829'}, {'id': '56732', 'Source': 'Reactome', 'Reference': 'Q16595'}, {'id': '33098', 'Source': 'SwissProt', 'Reference': 'Q16595'}, {'id': '56731', 'Source': 'Ensembl', 'Reference': 'ENSG00000165060'}], 'count': '6'}]	['Disease-causing germline mutation(s) (loss of function) in']	['Assessed']
37	586	Cystic fibrosis	5	['cystic fibrosis transmembrane conductance regulator', 'transforming growth factor beta 1', 'dynactin subunit 4', 'chloride channel accessory 4', 'syntaxin 1A']	[{'ExternalReference': [{'id': '56733', 'Source': 'Ensembl', 'Reference': 'ENSG00000001626'}, {'id': '26534', 'Source': 'Genatlas', 'Reference': 'CFTR'}, {'id': '26532', 'Source': 'HGNC', 'Reference': '1884'}, {'id': '82808', 'Source': 'IUPHAR', 'Reference': '707'}, {'id': '32319', 'Source': 'OMIM', 'Reference': '602421'}, {'id': '56734', 'Source': 'Reactome', 'Reference': 'P13569'}, {'id': '32410', 'Source': 'SwissProt', 'Reference': 'P13569'}], 'count': '7'}, {'ExternalReference': [{'id': '58047', 'Source': 'Ensembl', 'Reference': 'ENSG00000105329'}, {'id': '27333', 'Source': 'Genatlas', 'Reference': 'TGFB1'}, {'id': '27335', 'Source': 'HGNC', 'Reference': '11766'}, {'id': '27334', 'Source': 'OMIM', 'Reference': '190180'}, {'id': '58048', 'Source': 'Reactome', 'Reference': 'P01137'}, {'id': '32577', 'Source': 'SwissProt', 'Reference': 'P01137'}], 'count': '6'}, {'ExternalReference': [{'id': '83464', 'Source': 'Ensembl', 'Reference': 'ENSG00000132912'}, {'id': '70663', 'Source': 'Genatlas', 'Reference': 'DCTN4'}, {'id': '70661', 'Source': 'HGNC', 'Reference': '15518'}, {'id': '70662', 'Source': 'OMIM', 'Reference': '614758'}, {'id': '83463', 'Source': 'Reactome', 'Reference': 'Q9UJW0'}, {'id': '70664', 'Source': 'SwissProt', 'Reference': 'Q9UJW0'}], 'count': '6'}, {'ExternalReference': [{'id': '83851', 'Source': 'Ensembl', 'Reference': 'ENSG00000016602'}, {'id': '79686', 'Source': 'Genatlas', 'Reference': 'CLCA4'}, {'id': '79685', 'Source': 'HGNC', 'Reference': '2018'}, {'id': '100087', 'Source': 'OMIM', 'Reference': '616857'}, {'id': '97347', 'Source': 'Reactome', 'Reference': 'Q14CN2'}, {'id': '79687', 'Source': 'SwissProt', 'Reference': 'Q14CN2'}], 'count': '6'}, {'ExternalReference': [{'id': '84092', 'Source': 'Ensembl', 'Reference': 'ENSG00000106089'}, {'id': '82548', 'Source': 'Genatlas', 'Reference': 'STX1A'}, {'id': '82546', 'Source': 'HGNC', 'Reference': '11433'}, {'id': '82547', 'Source': 'OMIM', 'Reference': '186590'}, {'id': '84091', 'Source': 'Reactome', 'Reference': 'Q16623'}, {'id': '82549', 'Source': 'SwissProt', 'Reference': 'Q16623'}], 'count': '6'}]	['Disease-causing germline mutation(s) (loss of function) in', 'Modifying germline mutation in', 'Modifying germline mutation in', 'Modifying germline mutation in', 'Modifying germline mutation in']	['Assessed', 'Assessed', 'Assessed', 'Assessed', 'Assessed']
